frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
30,0.0000702842459449,0.0000038370149689,0.0000005622150361
30.5,0.0000744242663025,0.0000039994400196,0.000000582842160481
31,0.0000788027268681,0.0000041672323044,0.000000603932591161
31.5,0.0000834352538041,0.00000434055556,0.000000625489592641
32,0.0000883380053689,0.0000045196208836,0.000000647519558596
32.5,0.0000935292081025,0.000004704561,0.000000670025739601
33,0.0000990279736384,0.0000048955545081,0.000000693016290576
33.5,0.00010485555201,0.0000050927400241,0.0000007164945316
34,0.00011103258384,0.0000052963959321,0.000000740467134016
34.5,0.00011758366096,0.0000055066254244,0.000000764937404449
35,0.00012453667216,0.0000057236734564,0.0000007899121129
35.5,0.00013191671025,0.00000594774544,0.000000815396358049
36,0.00013975495524,0.0000061791022084,0.000000841395260176
36.5,0.00014808699481,0.0000064178622225,0.0000008679158244
37,0.00015694076176,0.0000066643487716,0.000000894961408576
37.5,0.00016636098361,0.0000069187411225,0.000000922539119121
38,0.00017638761721,0.00000718132804,0.000000950652300196
38.5,0.00018706306441,0.0000074524086081,0.00000097930816
39,0.00019843793424,0.0000077321256489,0.0000010085180625
39.5,0.00021056331664,0.0000080208470521,0.0000010382591025
40,0.00022349652004,0.0000083188403776,0.0000010685770384
40.5,0.00023729862025,0.0000086263801849,0.0000010994361316
41,0.00025204102564,0.0000089437481721,0.0000011308833649
41.5,0.00026779031449,0.0000092712942144,0.0000011628818569
42,0.00028463401521,0.0000096092560144,0.0000011954579569
42.5,0.00030265212961,0.0000099580638096,0.0000012286170649
43,0.00032194407184,0.0000103180361089,0.0000012623646025
43.5,0.00034260899409,0.0000106894340809,0.0000012966832384
44,0.00036476416144,0.0000110726555536,0.0000013315775236
44.5,0.00038853534769,0.0000114680436025,0.0000013670754084
45,0.00041404924324,0.0000118760187456,0.0000014031587025
45.5,0.000441462121,0.0000122968747561,0.0000014398560036
46,0.000470933401,0.0000127311235249,0.0000014771242369
46.5,0.00050264743204,0.0000131790054841,0.0000015149671056
47,0.00053678865969,0.0000136410558244,0.0000015534132496
47.5,0.00057358813009,0.0000141176038756,0.0000015924673249
48,0.00061327550736,0.0000146091363961,0.0000016320829009
48.5,0.00065611285609,0.0000151159996849,0.0000016722886489
49,0.00070239310729,0.0000156386238849,0.0000017130621456
49.5,0.00075243233025,0.0000161775297369,0.0000017544062116
50,0.00080659408036,0.0000167330901721,0.0000017963236729
50.5,0.00086526575716,0.0000173056832001,0.0000018387631201
51,0.00092887800625,0.0000178959457296,0.0000018817803684
51.5,0.0009979281,0.0000185041066896,0.0000019253227536
52,0.00107294243364,0.0000191307387769,0.0000019693631556
52.5,0.00115451807524,0.0000197761647616,0.0000020139015744
53,0.001243338121,0.0000204408877456,0.00000205893801
53.5,0.00134013102084,0.0000211253302129,0.0000021044434489
54,0.00144574092441,0.0000218298266176,0.0000021503582881
54.5,0.00156110331664,0.00002255490064,0.0000021966796944
55,0.00168725420644,0.0000233007013264,0.0000022433748841
55.5,0.00182538290025,0.0000240676585744,0.0000022904400964
56,0.00197679830544,0.0000248560079364,0.0000023377798404
56.5,0.00214300481476,0.0000256660784689,0.0000023853875809
57,0.00232566991504,0.0000264980946169,0.0000024331944169
57.5,0.00252671096896,0.0000273520632064,0.0000024811605289
58,0.00274825480644,0.0000282280752601,0.0000025292449296
58.5,0.00299276831844,0.0000291260978596,0.0000025773412681
59,0.00326301427984,0.0000300460748449,0.0000026254044961
59.5,0.00356215598244,0.0000309877035556,0.0000026733231009
60,0.00389378496004,0.0000319506432001,0.0000027210481936
60.5,0.00426203982649,0.0000329342845456,0.0000027684300996
61,0.00467162681049,0.0000339378483844,0.0000028154155264
61.5,0.00512794913409,0.0000349606125625,0.0000028618150561
62,0.00563726167489,0.0000360013200121,0.0000029075365225
62.5,0.00620671381929,0.0000370583867536,0.0000029524174276
63,0.00684460037041,0.0000381300075025,0.0000029962571409
